tblUploadID,tblSightingsID,SightingID,SurveyID,EffortID,DuplicateSightingStatus,DuplicateSightingNumber,PlatformInstance,Latitude,Longitude,AphiaID,IdentificationConfidence,Cue,SurveyTeam,MinGroupSize,BestGroupSize,MaxGroupSize,NumberOfCalves,SightingStatus,SightingDemographics,SightingDirection,SightingAngle,RadialDistance,PerpendicularDistance,Behaviour1,Behaviour2,Behaviour3,Comments
717,58256,Tracker_TRI-7-12-21,SCANS1994_Block-G_Tridens,TRI_213_808_29                                    ,Y,Prim_TRI-7-12-22,2,55.3271117257622,0.884715281894882,137087,D,BP,O2,,1,,,,,,4,,,119,124,124,
717,58139,Tracker_TRI-7-7-39,SCANS1994_Block-G_Tridens,TRI_94_802_48                                     ,Y,Prim_TRI-7-7-40,2,55.5903017510526,-0.461344210783158,137117,D,BP,O2,,1,,,,,,68,,,119,124,124,
730,74969,89363323,SCANSIII Block 9 Single platform,9_912_1                                           ,N,,1,45.43107,-5.454741,137107,D,BP,O2,6,6,6,,,,,349,362,,119,124,124,
733,76223,MC_149_1_20086,CODA Block 1 Double platform,MC_149_1                                          ,N,,1,57.94403,-10.1021,137087,D,BP,O2,1,1,1,,,,,40,500,,119,124,124,
730,74919,87834305,SCANSIII Block 9 Double platform,9_888_1                                           ,N,,1,45.74734,-4.56409,137091,D,Bl,O2,3,3,3,,,,,22,2098,,119,124,124,
730,74383,100216384,SCANSIII Block 9 Double platform,9_1037_1                                          ,N,,1,46.17669,-7.49901,137091,D,Bl,O2,2,2,2,,,,,17,1301,,119,124,124,
730,74956,100355388,SCANSIII Block 9 Double platform,9_1039_1                                          ,N,,1,46.13826,-7.554962,137091,D,Bl,O2,1,1,1,,,,,52,282,,119,124,124,
730,74258,107834446,SCANSIII Block 9 Double platform,9_1115_1                                          ,N,,1,47.60554,-8.145105,137091,D,Bl,O2,1,1,1,,,,,70,2000,,119,124,124,
730,74730,102130398,SCANSIII Block 9 Double platform,9_1058_1                                          ,N,,1,46.71661,-7.431587,137091,D,Bl,O2,1,1,1,,,,,40,885,,119,124,124,
730,74895,3742188,SCANSIII Block 8 Double platform,8_378_1                                           ,N,,1,58.00222,-12.40386,137119,D,Bl,O2,1,1,1,,,,,23,1500,,130,124,124,
730,74898,3747291,SCANSIII Block 8 Double platform,8_378_1                                           ,N,,1,58.00207,-12.43711,137119,D,Bl,O2,1,1,1,,,,,14,702,,130,124,124,
730,74899,3753692,SCANSIII Block 8 Double platform,8_378_1                                           ,N,,1,58.00122,-12.4796,137119,D,Bl,O2,1,1,1,,,,,44,598,,130,124,124,
730,74689,70509169,SCANSIII Block 9 Double platform,9_718_1                                           ,N,,1,46.5726,-10.76674,137091,D,Bl,O2,1,1,1,,,,,27,990,,119,124,124,
730,74731,102159399,SCANSIII Block 9 Double platform,9_1058_1                                          ,N,,1,46.72696,-7.424433,137091,D,Bl,O2,1,1,1,,,,,7,794,,119,124,124,
730,74289,103626415,SCANSIII Block 9 Double platform,9_1072_1                                          ,N,,1,47.24838,-7.038755,2688,D,Bl,O2,1,1,1,,,,,12,1508,,119,124,124,
